ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
21078,2021-02-01 00:00:00.000,2021-02-03,,2.0,,,0,103.1,0.14,5,0.0,Small,Low,Winter,2,2021,7,4751,8101,1
25717,2021-11-28 00:00:00.000,2021-11-29,,1.0,,,0,5.0,90000.0,1,0.0,Small,Low,Fall,11,2021,9,6627,5276,1
25718,2021-11-27 00:00:00.000,2021-11-27,,0.0,,,0,26.0,72000.0,1,0.0,Small,Low,Fall,11,2021,9,6627,5276,1
35375,2022-06-17 00:00:00.000,2022-06-17,,0.0,,,0,46.0,96000.0,1,0.0,Small,Low,Summer,6,2022,9,6678,5276,1
38662,2022-09-23 00:00:00.000,2022-09-23,,0.0,,,0,21.0,72000.0,1,0.0,Small,Low,Fall,9,2022,9,999,1976,1
39623,2022-10-15 00:00:00.000,2022-10-15,,0.0,,,0,40.0,0.0,1,0.0,Small,Low,Fall,10,2022,9,999,1976,1
50316,2022-05-20 00:00:00.000,2022-05-20,,0.0,,,0,33.0,0.0,1,0.0,Small,Low,Spring,5,2022,9,999,1460,1
51961,2022-06-26 00:00:00.000,2023-06-29,,368.0,,,0,3.0,4.5,1,0.0,Small,Low,Summer,6,2022,9,999,1976,1
22234,2020-12-28 00:00:00.000,2020-12-28,,0.0,,,0,71.0,0.1,1,0.0,Small,Low,Winter,12,2020,11,4229,3061,1
22597,2021-02-09 00:00:00.000,2021-02-10,,1.0,,,0,118.0,1.18,1,0.0,Small,Low,Winter,2,2021,11,4229,3061,1
22598,2020-12-16 00:00:00.000,2020-12-20,,4.0,,,0,0.3,0.01,1,0.0,Small,Low,Winter,12,2020,11,4229,3061,1
22782,2021-02-27 00:00:00.000,2021-03-11,,12.0,,,0,10650.0,0.01,8,0.0,Small,Low,Winter,2,2021,11,8875,3061,1
23321,2021-03-23 00:00:00.000,2021-03-25,,2.0,,,0,0.5,0.0,1,0.0,Small,Low,Spring,3,2021,11,4229,3061,1
10731,2019-05-25 00:00:00.000,2019-06-21,,27.0,,,0,664.0,0.0,3,0.0,Small,Low,Spring,5,2019,12,6124,3061,1
10733,2019-06-13 00:00:00.000,2019-06-15,,2.0,,,0,1744.0,0.0,2,41877.17,Small,Low,Summer,6,2019,12,336,3061,1
10217,2019-08-15 00:00:00.000,2019-08-15,,0.0,,,0,1.3,0.01,1,0.0,Small,Low,Summer,8,2019,12,4229,3061,1
51208,2023-06-12 00:00:00.000,2023-06-13,,1.0,,,0,80.0,0.0,10,0.0,Small,Low,Summer,6,2023,13,4229,3061,1
24116,2021-05-05 00:00:00.000,2021-05-07,,2.0,,,0,0.24,0.14,1,0.0,Small,Low,Spring,5,2021,13,4229,3061,1
25327,2021-04-10 00:00:00.000,2021-04-13,,3.0,,,0,21.0,0.0,1,0.0,Small,Low,Spring,4,2021,13,2870,3061,1
26303,2021-07-05 00:00:00.000,2021-07-05,,0.0,,,0,71.0,0.0,1,0.0,Small,Low,Summer,7,2021,13,2870,3061,1
26555,2021-10-27 00:00:00.000,2021-10-27,,0.0,,,0,26.0,0.0,1,0.0,Small,Low,Fall,10,2021,13,4229,3061,1
26556,2021-10-19 00:00:00.000,2021-10-19,,0.0,,,0,103.0,0.0,1,0.0,Small,Low,Fall,10,2021,13,4229,3061,1
23517,2020-12-19 00:00:00.000,2020-12-21,,2.0,,,0,19.0,0.0,2,0.0,Small,Low,Winter,12,2020,13,336,3061,1
23843,2021-02-21 00:00:00.000,2021-02-22,,1.0,,,0,22.0,0.01,1,0.0,Small,Low,Winter,2,2021,13,4229,3061,1
23844,2021-05-31 00:00:00.000,2021-05-31,,0.0,,,0,18.0,0.1,1,0.0,Small,Low,Spring,5,2021,13,6678,4229,1
23919,2021-06-04 00:00:00.000,2021-06-04,,0.0,,,0,20.0,0.0,1,0.0,Small,Low,Summer,6,2021,13,6678,4229,1
24110,2021-04-13 00:00:00.000,2021-04-13,,0.0,,,0,63.0,0.01,1,0.0,Small,Low,Spring,4,2021,13,4229,3061,1
24111,2021-04-23 00:00:00.000,2021-04-23,,0.0,,,0,289.0,0.61,2,0.0,Small,Low,Spring,4,2021,13,4229,3061,1
11218,2020-09-11 00:00:00.000,2020-09-12,,1.0,,,0,95.0,0.0,1,0.0,Small,Low,Fall,9,2020,13,8101,2882,1
20205,2020-08-11 00:00:00.000,2020-09-01,,21.0,,,0,3976.0,0.0,19,0.0,Small,Low,Summer,8,2020,13,2875,3061,1
20237,2020-10-11 00:00:00.000,2020-11-03,,23.0,,,0,5291.99,0.0,15,0.0,Small,Low,Fall,10,2020,13,2875,3061,1
20227,2020-11-17 00:00:00.000,2020-11-30,,13.0,,,0,28.06,0.0,3,0.0,Small,Low,Fall,11,2020,13,2875,3061,1
20508,2021-01-13 00:00:00.000,2021-01-14,,1.0,,,0,2.0,0.11,1,0.0,Small,Low,Winter,1,2021,13,6627,1121,1
10538,2019-02-23 00:00:00.000,2019-02-25,,2.0,,,0,1537.0,0.0,7,3235.53,Small,Low,Winter,2,2019,13,336,3061,1
