ShipmentID,ShipmentDate,PlannedArrivalDate,ActualDepartureDate,ActualArrivalDate,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,IsDelivered,DurationDays,DateKey,CustomerKey,EquipmentKey,FreightTypeKey,OriginLocationKey,DestinationLocationKey
54162,2023-07-29,2023-07-31,,,3439.0,0.0,244,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54162,2023-07-29,2023-07-31,,,3439.0,0.0,244,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54163,2023-07-29,2023-07-31,,,527.0,0.0,38,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54163,2023-07-29,2023-07-31,,,527.0,0.0,38,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54164,2023-07-29,2023-07-31,,,798.0,0.0,63,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54164,2023-07-29,2023-07-31,,,798.0,0.0,63,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54166,2023-07-29,2023-07-31,,,592.0,0.0,48,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54166,2023-07-29,2023-07-31,,,592.0,0.0,48,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54160,2023-07-29,2023-07-31,,,5570.0,49.05,12,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54160,2023-07-29,2023-07-31,,,5570.0,49.05,12,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54153,2023-07-29,2023-07-31,,,6.0,0.0,2,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54153,2023-07-29,2023-07-31,,,6.0,0.0,2,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54154,2023-07-29,2023-07-31,,,205.0,0.0,2,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54154,2023-07-29,2023-07-31,,,205.0,0.0,2,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54155,2023-07-29,2023-07-31,,,9.0,0.0,9,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54155,2023-07-29,2023-07-31,,,9.0,0.0,9,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54157,2023-07-29,2023-07-31,,,72.0,0.0,7,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54157,2023-07-29,2023-07-31,,,72.0,0.0,7,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54158,2023-07-29,2023-07-31,,,20.0,0.0,2,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54158,2023-07-29,2023-07-31,,,20.0,0.0,2,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54159,2023-07-29,2023-07-31,,,7.0,0.0,2,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54159,2023-07-29,2023-07-31,,,7.0,0.0,2,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54024,2023-07-26,2023-07-28,,,313.0,0.0,27,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54024,2023-07-26,2023-07-28,,,313.0,0.0,27,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
54025,2023-07-26,2023-07-28,,,1391.0,0.0,129,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54025,2023-07-26,2023-07-28,,,1391.0,0.0,129,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
54026,2023-07-26,2023-07-28,,,123.0,0.0,12,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54026,2023-07-26,2023-07-28,,,123.0,0.0,12,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
54027,2023-07-26,2023-07-28,,,2028.0,0.0,122,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54027,2023-07-26,2023-07-28,,,2028.0,0.0,122,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
54151,2023-07-29,2023-07-31,,,736.0,0.0,79,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54151,2023-07-29,2023-07-31,,,736.0,0.0,79,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54152,2023-07-29,2023-07-31,,,346.0,0.0,5,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54152,2023-07-29,2023-07-31,,,346.0,0.0,5,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54018,2023-07-26,2023-07-28,,,2563.0,0.0,180,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54018,2023-07-26,2023-07-28,,,2563.0,0.0,180,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
54019,2023-07-26,2023-07-28,,,425.0,0.0,26,0.0,0,,20230726,2946.0,24.0,1.0,5038.0,5088.0
54019,2023-07-26,2023-07-28,,,425.0,0.0,26,0.0,0,,20230726,3263.0,24.0,1.0,5038.0,5088.0
