CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue,RiskScore
358,6,1416.174,236.029,0.6626005006116841
361,191,870226.042,4556.157287958115,0.8519830095772956
374,135,3164190.475,23438.447962962964,0.8262939899624137
379,6,2528.3900000000003,421.39833333333337,0.26829477693359105
384,10,2088.51,208.85100000000003,0.2237332079269705
386,15,4001.3559999999998,266.7570666666667,0.7089561209414301
387,9,1.7999999999999998,0.19999999999999998,0.6386025378256386
396,19,8546.741,449.8284736842105,0.6879403310739701
397,3,9631.8,3210.6,0.4898305739769613
399,3,20870.597999999998,6956.865999999999,0.2457575134483202
400,16,10216.223,638.5139375,0.10990322794372798
408,3,1050.0,350.0,0.816522270042011
414,7,6201.754,885.9648571428571,0.5391862417088866
415,6,638.79,106.46499999999999,0.566017871278919
417,3,1597.51,532.5033333333333,0.46618536031952906
418,83,674034.542,8120.898096385542,0.5906339775228128
420,167,395472.0,2368.0958083832334,0.1316740826704803
421,145,14858.542,102.47270344827587,0.9221139989576979
422,240,1630271.121,6792.7963375,0.2086422637381079
426,10,8587.588,858.7588,0.8518602099409254
427,6,6523.261,1087.2101666666667,0.2177896025360515
437,26,9427.280999999999,362.58773076923075,0.8147275686654605
442,8,2827.7670000000003,353.47087500000004,0.5091730540246707
449,4,1258.122,314.5305,0.6969110668901555
450,7,4310.99,615.8557142857143,0.4410806088159781
457,37,44805.638,1210.963189189189,0.5220834576198592
458,41,640424.897,15620.11943902439,0.23483308958478366
459,426,705720.84,1656.621690140845,0.8786122675092884
460,3,1511.91,503.97,0.23099140243385774
463,3,877.1999999999999,292.4,0.8395349491309083
468,1,8751.83,8751.83,0.11810881075131441
480,5,1326.6000000000001,265.32000000000005,0.002592154669762481
483,2,1083.971,541.9855,0.6184988876565306
485,45,351.9,7.819999999999999,0.013799496425328628
495,2,501.9,250.95,0.15451138117597474
498,610,364920.5,598.2303278688524,0.7862028533538169
499,2,8460.0,4230.0,0.416172189294566
500,3,1515.0,505.0,0.8615510139363061
501,34,343422.432,10100.65976470588,0.7242692040471245
514,5,1224.8,244.95999999999998,0.6819672291763841
520,19,1908.59,100.45210526315789,0.8016925598363238
526,6,3410.363,568.3938333333333,0.8188192374195117
527,29,22021.436999999998,759.3598965517241,0.5623169906621078
538,1,214.8,214.8,0.6901182400518237
544,47,74489.981,1584.8932127659575,0.5408082313244047
547,2,0.0,0.0,0.3746009268885059
562,9,6900.87,766.7633333333333,0.7042889086402948
567,35,1544.751,44.13574285714286,0.9522353690876774
568,1,3242.693,3242.693,0.9603599538828751
577,3,301.79999999999995,100.59999999999998,0.10591342564715156
584,4,5205.643,1301.41075,0.1979963971442612
585,2,1.2,0.6,0.13667798829579747
589,7,915.735,130.8192857142857,0.9864456456008208
593,1,214.8,214.8,0.24223599928775952
600,3,35.7,11.9,0.04751933456260449
601,2,78.334,39.167,0.19753753404411245
608,13,82244.44,6326.495384615385,0.3064791917644192
610,14,1320.22,94.30142857142857,0.620713294711073
611,23,61032.0,2653.5652173913045,0.871096347910395
612,36,1176956.361,32693.23225,0.3236821968825695
618,5,7398.022,1479.6044,0.022378013493903448
624,3,648.0,216.0,0.958167836582264
637,2,11354.853,5677.4265,0.6522740394088535
642,1,18000.0,18000.0,0.7748667258714732
652,1,250.5,250.5,0.20461666501379394
654,37,86394.237,2334.979378378378,0.22199647816648793
656,37,23318.4,630.227027027027,0.41886727338537344
660,13,9625.627,740.4328461538462,0.31264592191758644
669,9,4183.900000000001,464.87777777777785,0.6820969506634662
673,15,11933.345,795.5563333333333,0.6368945639649108
682,4,0.0,0.0,0.8066365413824768
688,3,2627.535,875.8449999999999,0.14668111578496845
702,618,234244.209,379.0359368932039,0.7443060728392279
705,3,751.5,250.5,0.03696925098890291
706,13,14320.476,1101.575076923077,0.22523464183633068
709,139,125043.53,899.5937410071942,0.7826273083073818
713,3,1.7999999999999998,0.6,0.490507083143469
716,60,33169.064,552.8177333333333,0.34288056747294426
720,224,491265.877,2193.151236607143,0.06107539090458525
721,12,17454.75,1454.5625,0.1262462661487177
722,20,50610.0,2530.5,0.8682366108700541
727,16,40102.641,2506.4150625,0.28636060373389827
733,1,351.9,351.9,0.003434416082663927
738,32,223.70600000000002,6.9908125000000005,0.18986767268892513
740,745,4839228.302,6495.608459060403,0.32674586111536685
741,1,1376.175,1376.175,0.47963232589214155
744,30,8254.908,275.1636,0.4606702239698731
750,6,1059.696,176.61599999999999,0.47334390818892624
752,4,77.77,19.4425,0.311520271145475
753,21,14188.372,675.6367619047619,0.08236887048508279
756,10,12298.915,1229.8915000000002,0.16720044405105827
757,12,137674.39500000002,11472.866250000001,0.49256296916374154
759,6,2423.358,403.89300000000003,0.2692497861101215
760,48,56627.698000000004,1179.7437083333334,0.10022143742867928
765,13,10327.258,794.4044615384615,0.6981745050516311
772,8,5289.728,661.216,0.06413936862023839
776,144,379927.407,2638.3847708333333,0.6877115704073853
777,8,36928.618,4616.07725,0.896581433673627
783,1,352.3,352.3,0.6501851886758268
784,4,179.7,44.925,0.6015432627784044
815,3,30560.391000000003,10186.797,0.47894395451523364
820,5,1943.1100000000001,388.622,0.403515896726632
822,3,1223.14,407.71333333333337,0.027883705558921834
823,4,1418.407,354.60175,0.4781759586208567
834,6,9402.853,1567.1421666666665,0.945668817325651
842,6,1560.0,260.0,0.5469613307051654
