ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2021-11-23,3,5.122222222222222,2021-11-23,113679.228,0.013646986353854362
2021-11-24,29,5.055555555555555,2021-11-24,68803.05900000001,0.013646986353854362
2021-11-25,8,5.094444444444444,2021-11-25,52952.41,0.013646986353854362
2021-11-26,43,5.294444444444444,2021-11-26,67132.861,0.013646986353854362
2021-11-27,26,5.427777777777778,2021-11-27,10010.2,0.013646986353854362
2021-11-29,6,5.416666666666667,2021-11-29,30026.197,0.013646986353854362
2021-11-30,14,5.472222222222222,2021-11-30,91180.433,0.013646986353854362
2021-12-01,28,5.566666666666666,2021-12-01,168705.819,0.013646986353854362
2021-12-02,5,5.583333333333333,2021-12-02,48720.93000000001,0.013646986353854362
2021-12-03,37,5.772222222222222,2021-12-03,44207.321,0.013646986353854362
2021-12-06,4,6.088888888888889,2021-12-06,34779.399999999994,0.013646986353854362
2021-12-07,12,6.133333333333334,2021-12-07,1136005.58,0.013646986353854362
2021-12-08,20,6.211111111111111,2021-12-08,263769.84,0.013646986353854362
2021-12-09,10,6.25,2021-12-09,50024.223,0.013646986353854362
2021-12-10,32,6.405555555555556,2021-12-10,12567.6,0.013646986353854362
2021-12-11,19,6.5,2021-12-11,24244.6,0.013646986353854362
2021-12-13,9,6.516666666666667,2021-12-13,9537.79,0.013646986353854362
2021-12-14,8,6.511111111111111,2021-12-14,151747.112,0.013646986353854362
2021-12-15,26,6.561111111111111,2021-12-15,50947.848,0.013646986353854362
2021-12-16,15,6.622222222222222,2021-12-16,24409.2,0.013646986353854362
2021-12-17,24,6.733333333333333,2021-12-17,117.958,0.013646986353854362
2021-12-18,47,6.983333333333333,2021-12-18,78233.445,0.013646986353854362
2021-12-19,2,6.988888888888889,2021-12-19,71.1,0.013646986353854362
2021-12-20,6,7.0055555555555555,2021-12-20,167363.595,0.013646986353854362
2021-12-21,14,7.055555555555555,2021-12-21,17997.9,0.013646986353854362
2021-12-22,37,7.25,2021-12-22,65125.01,0.013646986353854362
2021-12-23,21,7.344444444444444,2021-12-23,242656.75300000003,0.013646986353854362
2021-12-24,28,7.4944444444444445,2021-12-24,16708.602,0.013646986353854362
2021-12-25,13,7.555555555555555,2021-12-25,7660.2,0.013646986353854362
2021-12-27,20,7.661111111111111,2021-12-27,62948.130000000005,0.013646986353854362
2021-12-28,7,7.666666666666667,2021-12-28,294569.694,0.013646986353854362
2021-12-29,53,7.933333333333334,2021-12-29,82247.245,0.013646986353854362
