CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue
1165,60,51.900000000000006,0.8650000000000001
1170,3,2894.3999999999996,964.7999999999998
1174,3,15226.5,5075.5
1176,1,250.5,250.5
1177,2,1378.191,689.0955
1185,1,668.59,668.59
1189,9,922.5,102.5
1192,1,217.24,217.24
1202,7,53893.714,7699.102
1205,1,132.721,132.721
1209,8,3.5999999999999996,0.44999999999999996
1215,38,289499.145,7618.398552631579
1216,12,27297.344,2274.7786666666666
1222,13,3972.625,305.58653846153845
1224,2,150.94,75.47
1226,1,601.003,601.003
1227,3,2118.7200000000003,706.2400000000001
1251,8,27900.018,3487.50225
1253,6,1686.8,281.1333333333333
1257,7,1759.7169999999999,251.38814285714284
1259,3,873.1569999999999,291.0523333333333
1261,6,1288.8000000000002,214.80000000000004
1263,21,36812.892,1752.9948571428572
1272,56,54847.943,979.4275535714286
1276,3,92.85,30.95
1286,1,579.15,579.15
1289,8,10124.184000000001,1265.5230000000001
1295,3,182.10000000000002,60.70000000000001
1298,2,1525.022,762.511
1304,6,1719.0,286.5
1305,3,646.2,215.4
1306,137,178696.925,1304.357116788321
1309,1,291.8,291.8
1310,6,1.0,0.16666666666666666
1314,3,7044.0,2348.0
1315,13,57205.7,4400.4384615384615
1316,34,90693.573,2667.458029411765
1317,44,4477058.931,101751.3393409091
1321,1,178.04,178.04
1331,3,4113.0,1371.0
1336,3,160501.8,53500.6
1342,1,214.8,214.8
1343,189,34889.806000000004,184.60214814814816
1356,1,430.472,430.472
1381,1,1.0,1.0
1392,58,18809.363,324.29936206896554
1396,9,774.742,86.08244444444443
1397,5,1177.8120000000001,235.56240000000003
1398,5,5324.176,1064.8352
1401,8,3377.33,422.16625
1404,3,2100.0,700.0
1410,24,25593.902,1066.4125833333333
1411,84,25543.0,304.0833333333333
1418,21,24462.673,1164.8891904761904
1420,21,10895.214,518.8197142857143
1430,12,2142.9230000000002,178.57691666666668
1446,1,280.9,280.9
1448,1,352.3,352.3
1452,1,377.83,377.83
1456,8,109.626,13.70325
1457,6,1361.7,226.95000000000002
1460,4,884.0,221.0
1461,10,4002.762,400.2762
